_id,_projectid,_teacher_acctid,_schoolid,school_ncesid,school_latitude,school_longitude,school_city,school_state,school_zip,school_metro,school_district,school_county,school_charter,school_year_round,school_nlns,school_kipp,school_charter_ready_promise,teacher_prefix,teacher_teach_for_america,teacher_ny_teaching_fellow,primary_focus_subject,primary_focus_area,secondary_focus_subject,secondary_focus_area,resource_type,poverty_level,grade_level,vendor_shipping_charges,sales_tax,payment_processing_charges,fulfillment_labor_materials,total_price_excluding_optional_support,total_price_including_optional_support,students_reached,total_donations,num_donors,eligible_double_your_impact_match,eligible_almost_home_match,funding_status,date_posted,date_completed,date_thank_you_packet_mailed,date_expiration
ed87d61cef7fda668ae70be7e0c6cebf,1f4493b3d3fe4a611f3f4d21a249376a,1ae4695be589a36816188e2b301a0395,360007700585,40.765517000000000,-73.960090000000000,New York City,NY,10065,,New York City Dept Of Ed,New York (Manhattan),f,f,f,f,f,f,Ms.,f,f,Literacy,Literacy & Language,,,Books,highest poverty,Grades 9-12,,,,,125.00,152.44,0,137.00,1,f,f,completed,2002-09-13 00:00:00,2002-09-23 00:00:00,2003-01-03 00:00:00,2003-12-31 00:00:00
b56b502d25666e29550d107bf7e17910,57426949b47700ccf62098e1e9b0220c,4a06a328dd87bd29892d73310052f45f,360007702569,40.770233000000000,-73.950760000000000,New York City,NY,10075,,New York City Dept Of Ed,New York (Manhattan),f,t,f,f,f,f,Ms.,f,f,Early Development,Applied Learning,,,Supplies,moderate poverty,Grades 3-5,,,,,125.00,152.44,0,125.00,1,f,f,completed,2002-09-16 00:00:00,2002-09-19 00:00:00,2002-12-19 00:00:00,2003-12-31 00:00:00
016f03312995d5c89d6b348be4682166,9c0aa56b63b743454d6da9effcf122fc,bb0af5dac1b54693ba86ef63eacd6594,360007605617,40.727826000000000,-73.978721000000000,New York City,NY,10009,urban,New York City Dept Of Ed,New York (Manhattan),f,f,f,f,f,f,Ms.,f,f,History & Geography,History & Civics,,,Supplies,high poverty,Grades PreK-2,,,,,187.00,228.05,0,205.00,1,f,f,completed,2002-09-17 00:00:00,2002-09-17 00:00:00,2002-12-02 00:00:00,2003-12-31 00:00:00
cf6275558534ca1b276b0d8d5130dd9a,1d4d8a42730dbb66af1ebb6ab37456b7,768dab263f87881fe7c68ffb3965df7c,360008302472,40.841216000000000,-73.938605000000000,New York City,NY,10032,urban,New York City Dept Of Ed,New York (Manhattan),f,f,f,f,f,f,Ms.,t,f,Other,Applied Learning,,,Supplies,highest poverty,Grades PreK-2,,,,,240.00,292.68,0,264.00,1,f,f,completed,2002-09-17 00:00:00,2002-09-23 00:00:00,2003-02-26 00:00:00,2003-12-31 00:00:00
0b8a4f8eb1822ab6dd5cd9ffb918ece3,e5d28482308e2007992ae8b358b31bce,9bc7d4d92193a453669b6e2a56128e87,360007705560,40.701778000000000,-74.011840000000000,New York City,NY,10004,urban,Other,New York (Manhattan),f,f,f,f,f,f,Mr.,f,f,Economics,History & Civics,,,Technology,highest poverty,Grades 9-12,,,,,1129.00,1376.83,0,1241.00,1,f,f,completed,2002-09-17 00:00:00,2002-09-17 00:00:00,2003-12-18 00:00:00,2003-12-31 00:00:00
d25a7dd645bdfb4d702f177cef5e0d8e,0c2d4535f03991165dc72092840d672b,cabcc3ed826056c3969a8a99c5aeeaf6,360008502463,40.829224000000000,-73.856899000000000,New York City,NY,10472,urban,New York City Dept Of Ed,Bronx,f,f,f,f,f,f,Ms.,f,f,Literacy,Literacy & Language,,,Books,highest poverty,Grades 3-5,,,,,289.00,352.44,0,317.90,1,f,f,completed,2002-09-17 00:00:00,2002-12-09 00:00:00,2003-08-01 00:00:00,2003-12-31 00:00:00
0b9607c9d3deb8b493653ed4f998fc38,454840ad7f58f2486203f73ee78ea2d5,0fad38af2fb328dd01bd3cef38ed42f2,360008102489,40.809677000000000,-73.939178000000000,New York City,NY,10037,urban,New York City Dept Of Ed,New York (Manhattan),f,f,f,f,f,f,Ms.,f,f,Environmental Science,Math & Science,,,Supplies,highest poverty,Grades PreK-2,,,,,231.00,281.71,0,254.00,1,f,f,completed,2002-09-17 00:00:00,2002-09-23 00:00:00,2003-07-14 00:00:00,2003-12-31 00:00:00
e24d8bb3d268a7c837077fa07c153063,0c2d4535f03991165dc72092840d672b,cabcc3ed826056c3969a8a99c5aeeaf6,360008502463,40.829224000000000,-73.856899000000000,New York City,NY,10472,urban,New York City Dept Of Ed,Bronx,f,f,f,f,f,f,Ms.,f,f,Literacy,Literacy & Language,,,Books,highest poverty,Grades 3-5,,,,,348.70,425.24,0,0.00,0,f,f,completed,2002-09-17 00:00:00,2002-09-23 00:00:00,2003-08-04 00:00:00,2003-05-17 00:00:00
0d97d7543a766a07b3acf2c732844e85,d41b22314bd46c30150e50c4c78bc128,9bd4079c3ace16b8059eda8a42ce79fb,,40.802662000000000,-73.948097000000000,New York City,NY,10026,,Other,New York (Manhattan),f,f,f,f,f,f,Ms.,f,f,Literacy,Literacy & Language,,,Supplies,highest poverty,Grades PreK-2,,,,,456.00,556.10,0,0.00,0,f,f,completed,2002-09-17 00:00:00,2002-09-23 00:00:00,2003-05-12 00:00:00,2003-12-31 00:00:00
eb886a0ef1f498eb88f774947d3d02d7,b55921c6a3999b1f63e6ef69966b79aa,993e6202ffb7607f9b9ce616dd29140c,360009100867,40.697353000000000,-73.984512000000000,New York City,NY,11201,urban,New York City Dept Of Ed,Kings (Brooklyn),f,t,f,f,f,f,Mrs.,f,f,History & Geography,History & Civics,,,Other,highest poverty,Grades 9-12,,,,,525.00,640.24,0,577.00,1,f,f,completed,2002-09-17 00:00:00,2002-09-17 00:00:00,2002-12-03 00:00:00,2003-12-31 00:00:00
